"CID","SMILES"
20846869,"CC1=C(C(=O)N=C(N1)C)CC(=O)NN=C(C)C2=CC=C(C=C2)OC"
12005492,"CC1=CC=C(C=C1)C2=NN(C(=O)CC2)CCC(=O)NCC3=CC4=C(C=C3)OCO4"
5170611,"CCOC(=O)CC(C1=CC(=CC=C1)[N+](=O)[O-])NS(=O)(=O)C2=CC(=C(C=C2)OC)C"
5293145,"C1CCN2CCCC(C2C1)COC(=O)NS(=O)(=O)OC3=CC=C(C=C3)Cl"
9600740,"COC1=C(C=C(C=C1)C(=NO)N)O"
4105233,"CC1=CC(=C(C=C1)C)NC(=S)N(CCOC)C(C)C2=CN=CC=C2"
3704521,"CC(C1=CC=CO1)N(CCN(C)C)C(=S)NC2=CC(=C(C=C2)OC)Cl"
5516000,"C1=CC=C(C=C1)S(=O)(=O)C(=CC2=CC=C(O2)C3=CC(=C(C=C3)Cl)Cl)C(=O)NCC4=CN=CC=C4"
1393528,"C1=CC=C(C=C1)S(=O)(=O)C(=CC2=CC=C(O2)C3=CC=C(C=C3)Br)C(=O)NCC4=CN=CC=C4"
9637453,"CC1C(=CC2=CC=CC=C2O1)C=NNC(=O)C3=CC=C(C=C3)C"
5921331,"COC(=O)NN=CC1=CC=C(O1)C2=CC(=CC(=C2)Cl)Cl"
2033765,"CN1C2=CC=CC=C2C(=O)C3=C1N=C(N(C3=O)CCOC)C4=CC=CC=C4Cl"
12005545,"C1=CC(=C(C=C1C2=CN3C=C(C=CC3=N2)Br)Cl)Cl.Br"
6505532,"CC1=CC=CC=C1OCC2=NC3=CC=CC=C3C(=O)N2NC=C4C=NC5=CC=CC=C54"
3838798,"CC1=C(C(=O)N(N1)C2=CC=CC=C2)C(C3=C(C(=CC=C3)[N+](=O)[O-])O)C4=C(NN(C4=O)C5=CC=CC=C5)C"
9668238,"CC(=NNC(=O)CC1=CC(=C(C=C1)OC)OC)CC(=O)NC2=CC3=C(C=C2)OCO3"
921780,"C1=CC=C2C(=C1)C=CC=C2OCC(=O)NNC(=O)C3=NC=CN=C3"
12005560,"CC1=CC=C(C=C1)C2=C[N+]3=CC=CC=C3N2CC4=CC=C(C=C4)OC.[Br-]"
